"","x"
"1","Oryzomys galapagoensis"
"2","Oryzomys xanthaeolus"
"3","Rhogeessa alleni"
"4","Rhogeessa gracilis"
"5","Callithrix humilis"
"6","Callithrix pygmaea"
"7","Oryzomys maracajuensis"
"8","Oryzomys marinhus"
"9","Oryzomys scotti"
"10","Callicebus lucifer"
"11","Callicebus lugens"
"12","Callicebus regulus"
"13","Callicebus torquatus"
"14","Cercocebus torquatus"
"15","Sphiggurus spinosus"
"16","Sphiggurus ichillus"
"17","Sphiggurus mexicanus"
"18","Sphiggurus insidiosus"
"19","Sphiggurus melanurus"
"20","Sphiggurus pruinosus"
"21","Sphiggurus roosmalenorum"
"22","Echinoprocta rufescens"
"23","Sphiggurus vestitus"
"24","Gracilinanus ignitus"
"25","Agouti paca"
"26","Oryzomys polius"
"27","Oryzomys lamia"
"28","Oryzomys legatus"
"29","Oryzomys macconnelli"
"30","Oryzomys russatus"
"31","Mimon crenulatum"
"32","Pearsonomys annectens"
"33","Kunsia fronto"
"34","Oryzomys chapmani"
"35","Oryzomys saturatior"
"36","Puma yagouaroundi"
"37","Orthogeomys cherriei"
"38","Orthogeomys dariensis"
"39","Orthogeomys lanius"
"40","Liomys adspersus"
"41","Liomys irroratus"
"42","Liomys pictus"
"43","Liomys salvini"
"44","Liomys spectabilis"
"45","Oryzomys acritus"
"46","Oryzomys laticeps"
"47","Oryzomys megacephalus"
"48","Oryzomys oniscus"
"49","Oryzomys tatei"
"50","Oryzomys yunganus"
"51","Spermophilus mexicanus"
"52","Saguinus fuscicollis"
"53","Saguinus nigricollis"
"54","Saguinus tripartitus"
"55","Oreailurus jacobita"
"56","Micoureus regina"
"57","Callithrix acariensis"
"58","Callithrix emiliae"
"59","Callithrix leucippe"
"60","Callithrix marcai"
"61","Callithrix mauesi"
"62","Callithrix saterei"
"63","Oryzomys hammondi"
"64","Akodon bogotensis"
"65","Akodon latebricola"
"66","Tamias bulleri"
"67","Oryzomys albigularis"
"68","Oryzomys auriventer"
"69","Oryzomys caracolus"
"70","Oryzomys devius"
"71","Oryzomys keaysi"
"72","Oryzomys levipes"
"73","Oryzomys meridensis"
"74","Spermophilus variegatus"
"75","Echimys semivillosus"
"76","Pipistrellus subflavus"
"77","Callicebus baptista"
"78","Callicebus bernhardi"
"79","Callicebus cinerascens"
"80","Callicebus cupreus"
"81","Callicebus discolor"
"82","Callicebus dubius"
"83","Callicebus hoffmannsi"
"84","Callicebus modestus"
"85","Callicebus moloch"
"86","Callicebus oenanthe"
"87","Callicebus olallae"
"88","Callicebus ornatus"
"89","Callicebus pallescens"
"90","Diplomys rufodorsalis"
"91","Cebus apella"
"92","Cebus libidinosus"
"93","Cebus nigritus"
"94","Cebus xanthosternos"
"95","Sigmodontomys aphrastus"
"96","Echimys rhipidurus"
"97","Oryzomys bolivaris"
"98","Oryzomys talamancae"
